origin,destination,type,price,duration,main_attraction
Hyderabad,Kashmir,bus,968,350,Pahalgam ,Dal Lake
Nagpur,Pune,flight,3429,151,Shaniwar Wada,Aga Khan Palace
Dehradun,Patna,flight,3224,68,Golghar,Nalanda University
Indore,Mumbai,flight,3761,85,Gateway of India,Marine Drive
Chennai,Kolkata,bus,530,357,Victoria Memorial,Howrah Bridge
Mumbai,Delhi,bus,1450,652,Red Fort,Qutub Minar
Patna,Kashmir,bus,815,892,Pahalgam ,Dal Lake
Lucknow,Ahmedabad,train,3673,608,Sabarmati Ashram,Adalaj Stepwell
Ahmedabad,Chandigarh,train,2594,697,Rock Garden,Sukhna Lake
Agra,Amritsar,car,4431,386,Golden Temple,Jallianwala Bagh
Kashmir,Agra,flight,4704,85,Taj Mahal,Agra Fort
Patna,Surat,bus,952,469,Dumas Beach,Sarthana Nature Park
Kashmir,Dehradun,flight,5783,217,Robber's Cave,Forest Research Institute
